SportCode,SportCategoryCode,SportTournamentCode,BetLimitFactor
16,93,14249,3
16,93,25622,3
16,93,621,3
16,777,32545,5
16,777,35708,5
16,777,35709,5
16,777,72987,1.99
16,43,4058,1
16,43,47,6
16,43,57628,5
16,43,584,1
16,43,62418,1
16,43,6344,3
16,43,76234,1
16,43,76236,1
16,43,76280,1
16,43,76282,1
16,43,77172,1
16,43,81985,1
16,43,81987,1
16,43,81989,1
16,43,81991,1
16,43,81993,1
16,43,81997,1
16,43,81999,1
16,43,82001,1
16,43,82003,1
16,43,82005,1
16,43,82179,2
16,43,85,3
16,43,89038,1
16,43,89725,1
16,43,994,3
16,43,9956,8
13,87,10147,3
13,87,11354,3
13,87,391,3
13,87,57613,2
13,87,57617,2
13,87,79861,2
31,259,21839,5
31,259,21840,5
31,259,21841,5
31,259,21842,5
31,259,21843,5
31,259,21844,5
31,259,21845,5
31,259,21846,5
31,259,21847,5
31,259,21848,5
31,259,21849,5
31,259,21850,5
31,259,21851,5
31,259,21854,5
31,259,21855,5
31,259,21856,5
31,259,21858,5
31,259,21859,5
31,259,21860,5
31,259,21861,5
31,259,21862,5
31,259,21863,5
31,259,21864,5
31,259,21865,5
31,259,21867,5
31,259,21868,5
31,259,21870,5
31,259,21871,5
31,259,21872,5
31,259,21874,5
31,259,21875,5
31,259,21876,5
31,259,21877,5
31,259,21878,5
31,259,21879,5
31,259,21880,5
31,259,21881,5
31,259,21883,5
31,259,34700,5
31,259,35739,5
31,259,35740,5
31,259,35741,5
31,259,35742,5
31,259,35743,5
31,259,35749,5
31,259,35750,5
31,259,35751,5
31,259,35752,5
31,259,35753,5
31,259,35759,5
31,259,35760,5
31,259,35761,5
31,259,35762,5
31,259,35763,5
31,259,35769,5
31,259,35770,5
31,259,35771,5
31,259,35772,5
31,259,35773,5
31,259,36805,5
31,259,36807,5
31,259,36809,5
31,259,36811,5
31,259,36813,5
31,259,37148,5
31,259,37149,5
31,259,37150,5
31,259,37152,5
31,259,37153,5
31,259,37154,5
31,259,37156,5
31,259,37204,5
31,259,37205,5
31,259,37206,5
31,259,37207,5
31,259,37208,5
31,259,37315,5
31,259,37316,5
31,259,37317,5
31,259,37318,5
31,259,37319,5
31,259,37322,5
31,259,37373,5
31,259,37374,5
31,259,37375,5
31,259,37376,5
31,259,37377,5
31,259,37855,5
31,259,37856,5
31,259,37857,5
31,259,37858,5
31,259,37859,5
31,259,37905,5
31,259,37906,5
31,259,37907,5
31,259,37908,5
31,259,37909,5
31,259,38177,5
31,259,38178,5
31,259,38179,5
31,259,38180,5
31,259,38181,5
31,259,38182,5
31,259,38183,5
31,259,38184,5
31,259,38185,5
31,259,38523,5
31,259,38524,5
31,259,38525,5
31,259,38526,5
31,259,38527,5
31,259,38528,5
31,259,38529,5
31,259,38530,5
31,259,38791,5
31,259,38792,5
31,259,38793,5
31,259,38794,5
31,259,38795,5
31,259,38803,5
31,259,38804,5
31,259,38805,5
31,259,38806,5
31,259,38807,5
31,259,38808,5
31,259,38809,5
31,259,38810,5
31,259,38811,5
31,259,38812,5
31,259,38888,5
31,259,38889,5
31,259,38890,5
31,259,38891,5
31,259,38892,5
31,259,38893,5
31,259,38894,5
31,259,38895,5
31,259,38896,5
31,259,38903,5
31,259,38904,5
31,259,38905,5
31,259,38906,5
31,259,38907,5
31,259,38959,5
31,259,38960,5
31,259,38961,5
31,259,38962,5
31,259,38963,5
31,259,38964,5
31,259,38965,5
31,259,38966,5
31,259,38967,5
31,259,38997,5
31,259,38998,5
31,259,38999,5
31,259,39000,5
31,259,39001,5
31,259,39002,5
31,259,39003,5
31,259,39004,5
31,259,39005,5
31,259,39006,5
31,259,39008,5
31,259,39009,5
31,259,39010,5
31,259,39011,5
31,259,39012,5
31,259,39075,5
31,259,39076,5
31,259,39077,5
31,259,39078,5
31,259,39079,5
31,259,39082,5
31,259,39083,5
31,259,39110,5
31,259,39111,5
31,259,39112,5
31,259,39113,5
31,259,39114,5
31,259,39160,5
31,259,39161,5
31,259,39162,5
31,259,39163,5
31,259,39164,5
31,259,39165,5
31,259,39167,5
31,259,39168,5
31,259,39170,5
31,259,39171,5
31,259,39172,5
31,259,39173,5
31,259,39174,5
31,259,39300,5
31,259,39301,5
31,259,39302,5
31,259,39303,5
31,259,39304,5
31,259,39305,5
31,259,39306,5
31,259,39307,5
31,259,39308,5
31,259,39309,5
31,259,39310,5
31,259,39311,5
31,259,39312,5
31,259,39313,5
31,259,39314,5
31,259,39315,5
31,259,39316,5
31,259,39317,5
31,259,39318,5
31,259,39327,5
31,259,39329,5
31,259,39331,5
31,259,39333,5
31,259,39335,5
31,259,39363,5
31,259,39364,5
31,259,39365,5
31,259,39366,5
31,259,39367,5
31,259,39368,5
31,259,39369,5
31,259,39370,5
31,259,39371,5
31,259,39372,5
31,259,39763,5
31,259,39764,5
31,259,39765,5
31,259,39766,5
31,259,39767,5
31,259,39768,5
31,259,39812,5
31,259,39813,5
31,259,39814,5
31,259,39815,5
31,259,39816,5
31,259,40206,5
31,259,40207,5
31,259,40208,5
31,259,40209,5
31,259,40210,5
31,259,40211,5
31,259,40212,5
31,259,40213,5
31,259,40214,5
31,259,40215,5
31,259,40216,5
31,259,40217,5
31,259,40218,5
31,259,40219,5
31,259,40220,5
31,259,40383,5
31,259,40384,5
31,259,40385,5
31,259,40386,5
31,259,40387,5
31,259,40588,5
31,259,40589,5
31,259,40590,5
31,259,40591,5
31,259,40592,5
31,259,40593,5
31,259,40594,5
31,259,40595,5
31,259,40596,5
31,259,40597,5
31,259,40827,5
31,259,40828,5
31,259,40830,5
31,259,40832,5
31,259,40834,5
31,259,41102,5
31,259,41103,5
31,259,41104,5
31,259,41105,5
31,259,41106,5
31,259,41107,5
31,259,41108,5
31,259,41159,5
31,259,41160,5
31,259,41161,5
31,259,41162,5
31,259,41163,5
31,259,41521,5
31,259,41522,5
31,259,41523,5
31,259,41524,5
31,259,41525,5
31,259,41526,5
31,259,41527,5
31,259,41528,5
31,259,41529,5
31,259,41530,5
31,259,41531,5
31,259,41532,5
31,259,41533,5
31,259,41534,5
31,259,41535,5
31,259,41724,5
31,259,41725,5
31,259,41726,5
31,259,41727,5
31,259,41728,5
31,259,42208,5
31,259,42209,5
31,259,42210,5
31,259,42211,5
31,259,42212,5
31,259,42213,5
31,259,42214,5
31,259,42215,5
31,259,42216,5
31,259,42217,5
31,259,42419,5
31,259,42420,5
31,259,42421,5
31,259,42422,5
31,259,42423,5
31,259,42425,5
31,259,42426,5
31,259,42427,5
31,259,42526,5
31,259,42527,5
31,259,42528,5
31,259,42529,5
31,259,42530,5
31,259,42723,5
31,259,42724,5
31,259,42725,5
31,259,42726,5
31,259,42727,5
31,259,42730,5
31,259,42732,5
31,259,42734,5
31,259,42735,5
31,259,42737,5
31,259,42738,5
31,259,42739,5
31,259,42740,5
31,259,42741,5
31,259,42742,5
31,259,42778,5
31,259,42779,5
31,259,42780,5
31,259,42781,5
31,259,42782,5
31,259,42783,5
31,259,42784,5
31,259,42785,5
